企業番号	"生産品目"
19891123	コンピュ－タソフトｳｴｱ開発
19850450	乾燥食品，調味料等の製造
20000343	木材用樹脂接着剤製造
20060599	空調機クリ－ニングおよびメンテナンス
20050291	建設工事の共同施工
19970431	住宅建築木材仕入れ，ＣＡＤ・ＣＡＭ連動型プレカット
20050296	アパ－ト・マンション・貸家・オフィスビル・駐車場等募集・管理
20030112	鮮魚・冷凍魚の名古屋中央卸売市場での仲卸
20030114	鮮魚の調理・販売
20010383	回転寿司調理販売
20010384	テイクアウト寿司・惣菜等の調理販売
20070180	回転寿司調理販売
20020008	鮮魚の調理販売
20030115	鮮魚の調理販売
20060464	労働者派遣事業・ｼｽﾃﾑ開発支援事業
20070498	美容業
19850055	情報通信・コンピュータ機器施工・保守他
20070334	総合エンジニアリング業
19850194	美容室
19890625	カメラ・パソコン等家電製品の専門店
20030077	電気事業等
20080334	電気事業等
20080335	電気事業等
20080336	電気事業等
20080337	電気事業等
20080338	電気事業等
20080339	電気事業等
20080340	電気事業等
20080341	電気事業等
20080342	電気事業等
20080343	電気事業等
20080344	電気事業等
20080345	電気事業等
20080346	電気事業等
20080347	電気事業等
20080348	電気事業等
20080349	電気事業等
20080350	ソフトウエアの企画・製造・販売
20050513	鉄軌道事業他
20080352	石油製品の販売、自動車の板金整備作業、他
19890899	情報通信事業、電気通信事業
20050364	高級婦人服の企画製造販売
20080355	総合物流業
19960677	アパレル企画製造小売業
20080357	石油製品及び車関連商品の販売
20080358	建設ファスナー設置・各種鋼材等設置
20080359	自動車用シート等の研究開発・製造・販売
20080360	石油製品小売業
20070563	遊技機部品開発・製造・販売
20080362	アクトリーアウトソーシング、人材派遣
20080363	ファクトリーアウトソーシング、人材派遣
20080364	医療品の製造請負事業
20060629	飲食店経営
20050273	飲食業（居酒屋）
20080367	飲食業（寿司）
20080368	特撰洋食・和食とシチリアワイン専門店
20050437	全国チェーン型パチンコホールの展開
20080370	パン製造販売、喫茶
19990384	飲食業（ふぐ料理）
20070554	飲食業（居酒屋）
20000237	遊技業
19870453	製鋼原料加工販売，廃家電ﾘｻｲｸﾙ
20050452	軌道検査，検測，整備，構造物検査，調査等
20050008	鋳鍛鋼品，産業機械等の各種製品の製造
20040301	太陽電池用シリコン製品製造
19870631	植物油脂製造業
20070527	ソフトウエア開発
19911925	総合プラントエンジニアリング
20070122	電気・通信・空調総合設備の設計施工
19900256	大型発電機、各種プラントシステム等
19911608	総合建設業
19850309	石油製品・自動車用品・ＬＰＧ販売
20020328	産業設備保全業務、活用資源の物流業務
19901594	日本銀行券用紙等製造
20080387	空港、高層マンション、トンネルの鉄筋工事
20080388	メンテナンスを中心とするビル総合管理業
20010145	農業機械及び関連資材販売,建設事業等
19880721	飲料水・菓子の製造
19870677	美容業
20000033	鋼鈑加工販売・磁性材料・機械類販売
20080393	エレクトロニクス関連部品の製造
20040043	電気機械器具製造業及び付帯工事
19990010	製鉄所構内物流業務業，一般貨物運送事業
19850256	建築一式・土木一式工事，鳶・土・コンクリ
20070156	業務用厨房機器製造販売
20070654	ス－パ－マ－ケット事業
19970831	情報処理業
19901622	石油製品・自動車用品・保険販売
19870231	石油製品・自動車用品販売
20000017	美容一般
19850471	メカニカルシ－ル，コントロ－ルバルブ製造
19970739	建築工事の型枠施工
20080405	ＯＡ機器の販売及び建設資材の卸売
19850536	配電盤，制御盤等の設計製作
19850667	キャンドルの製造販売
19850159	自動車設計試験生産技術
19860572	総合建設業
19911497	多種類の軟包材のグラビア印刷等
20010403	新聞印刷
19911607	化成品・樹脂・繊維の製造
19870600	倉庫受払業
19860486	液晶製造装置，半導体関連機器，精密金型
19921475	電気・計装工事・施工及びメンテナンス
19880676	非破壊検査・電気熱処理
19870685	電気設備工事設計施工
19930025	ベロ－ズ形伸縮菅継手設計・製造・販売
20080419	オーディオ・タイヤ・オイル・バッテリー
19870592	電気設備工事設計施工
19860342	各種集積回路の開発生産
19870358	製紙用化学薬品製造販売
19850299	自動車用部品（サッシュ，モール，ベローズ等）の製造販売
20080424	建設業（電気工事業・電気通信工事業）
20060466	自動車製造、派遣般
19891052	美容理容技術全般
20050430	コンピュータやシステムの技術サービス
19850423	製版印刷，その他関連事業
19870494	電気設備の品質管理（試験調整・点検業務）
19850191	総合オートメーション関連機器製造販売保守
19880488	プラント建設・配管工事・鉄構構造物据付
19891031	給排水衛生・消化・冷暖房等空調設備工事
19850441	自動車用他鋳造部品製造業
20080434	石油製品小売（ガソリンスタンド）
20050491	非鉄金属製錬業
20070229	電気事業
19850537	化成品・樹脂の製造
19890326	金属表面処理加工
19890247	家庭、業務用電気機械器具の修理
19850529	粘着テ－プ製造
20040323	自動車部品製造，建築金物・建具製造
19960776	ポリウレタンフォ－ム製造加工
20050398	木材・建材の卸売業
19970838	調理パン・米飯，惣菜，製造販売
19850521	石油化学品精製製造販売
19850171	医療用医薬品製造販売
19901306	総合建設業
19850681	建設業，日曜大工用品販売等
19930547	コンクリ－ト二次製品製造
19850696	建築資材、住宅設備機器等の卸売・増改築
20010083	郵便番号区分機・現金預払機の保守・管理
20020288	半導体組立製造
19930536	畳・襖製造販売
20080454	栽培管理
19860288	自動車部品製造業
19880757	プラント建設工事・メンテナンス工事
19880370	精密プレス金型，自動車用金型設計，製作
19890930	不定形耐火物の製造販売
20060568	建物の設備管理
20070570	総合ビルメンテナンス
20050383	プラントエンジニアリング，機器の設計制作
19911450	発電所設備機械保守点検据付等
20080463	一般貨物自動車運送業
20050081	「おかめ納豆」製造
19850370	パン・和洋菓子製造
19880838	機械ﾒﾝﾃﾅﾝｽ，電気工事，土木工事
19850711	空調給排水消火設備各種プラント設計施工
19850311	管工事設備工事業
19880855	自動車製造・建設・生産ｻﾎﾟ-ﾄ
19850259	石油製品販売・自動車整備
19850261	紙製品加工
19901213	電気設備(企画設計施工監理)
20060365	梱包業
20080474	ＪＲ貨物からの受託業務及びトラック運送事業
20060422	総合建設業
19901282	貨物自動車運送事業
19950758	各種機械器具の据付・保全その他付帯工事
19880219	プラスチックリサイクル製品製造加工販売
19870658	総合物流業
20070412	プラスチック加工機械設計・製図
20080481	線路の保守作業
19901039	直営店及びフランチャイズチェーンシステムによる飲食店
19900055	石油製品販売，ガソリンスタンド等
20000144	理容
20060089	ｱｳﾄｿ-ｼﾝｸﾞ，人材派遣
19960465	ﾃﾞﾞｨｽｶｳﾝﾄ・ｽﾄｱの経営
20010227	建設業
20080488	チェーンストアの経営
19931071	給排水衛生，空調，防災設備設計施工
19921703	電気通信工事業
19870372	カジュアル衣料用織物の製造販売
20050375	クレーンを使用した重量物運搬作業他
19860674	機械器具製造
20080494	印刷業
19850333	送電線・配電線・通信線工事及び関連工事
19970537	ソフトウエア開発，通信ネットワーク他
19890718	鉄筋化工組立工事
19860600	生コンクリ－ト・間知ブロック製造販売
20050500	鋼管類の加工・販売
20050399	鋼板加工及び販売業
20060582	食品衛生配管
20000174	Ｃａｔ，カラーリング，クイントパーマ
20040105	総合建設業
20080504	総合ビルメンテナンス業務
20070309	電気機械器具製造業
19860119	安全に関する一切の業務
20050205	電気機械器具製造販売
20070513	マンション・テナントビル定期清掃設備管理
20080509	プラスチックの機械切削加工
20080510	物流センター入出庫・仕分・ピッキング作業
20070733	ハイジャック等防止検査業務
20070516	総合印刷業
19850644	輸送用機械器具製造
20050420	産業機械・自動車部品等の輸出・国内向梱包
19920681	製鉄用機械設備のﾒﾝﾃﾅﾝｽ
19921320	ドリンク，緑茶等製造販売
20080517	都市ガス事業
20080518	冷蔵倉庫設備、設計、施工メンテナンス
20070454	鉄道車両のメンテナンス業務
20070455	鉄道施設・設備保守検査業務
20070456	駅業務、駅構内営業運営管理業務
20060302	ホ－ムペ－ジ制作・各種通信ＯＡ機器販売
20080523	溶接・産業機械の輸入・開発・設計
20080524	運送業（引越）
19970423	石油製品の小売販売
20060406	石油製品販売および自動車整備
20080527	高圧用電力ケーブルの工事等
19940853	警備業務，ビルメンテナンス他
20030133	専門工事業(機械土木中心)
20060336	建設足場の施工付レンタル
19850146	とび・土工事及び建築一式，土木一式工事他
19901628	「セブン－イレブン」のﾌﾗﾝﾁｬｲｽﾞ本部
20050287	遊技場経営
19850770	総合毛髪業(かつらの販売)
19880649	理容・美容業並びに関連業
20080536	男性専門の美容室
20040298	外食産業
20080538	回転寿司チェーン「くら寿司」の経営
20070197	麺類和食寿司創作居酒屋鉄板焼き
19850410	寿司・日本料理・居酒屋など１００店舗直営
20040212	居酒屋・レストラン等2５業態飲食店経営
19920984	飲食業
19850193	天ぷら専門店・天ぷら会席
19911134	江戸前寿司チェーン店
19850456	すし及び日本料理
20070502	焼肉しゃぶしゃぶレストラン
19880040	フード・サービスチェーン
20070485	フ－ド・サ－ビスチェ－ン
19921120	寿司・和食・焼肉・居酒屋他
20070506	ス－パ－マ－ケットチェ－ン展開
20070507	特徴商品群を扱い首都圏店舗チェ－ン展開
20070491	ホ－ムセンタ－事業チェ－ン展開
19990104	鉄道道路の信号標識設計施工
20080554	江戸前手打ち蕎麦
20060492	寿し・和食店の経営
20050289	アミュ－ズメント事業
20050290	飲食事業
20080558	海外商品先物取引業
20070624	海外商品先物取引
20050284	総合レジャー
19920178	宅配便など各種運送にかかわる事業
20080562	宅配便など各種輸送にかかわる事業
20060394	宅配便など各種輸送にかかわる事業
20060392	宅配便など各種輸送にかかわる事業
19880226	工作機械製造販売
20060147	一般回転機器の据付及びメンテナンス
19940337	複写機トナ－製造
19890388	ポリオレフィン製品製造・加工・販売
19891242	総合建設業
20080570	土木建築・測量・施工管理・精度管理
20070732	空調自動制御システムの試運転調整・保守
19990145	インテリア家具企画製造販売
19910492	上下水道用資材卸及び工事の設計施工
20080574	電気工事業
20060390	鉄筋工事業
19920672	寿司・割烹
19901376	食料品・医薬品原料等製造
20060059	筑豊ラ－メン（山小屋等）チェ－ンの全国展開
20070581	外食産業
19890621	伸縮管継手，圧力容器，鉄構造物等製造販売
19911317	農薬及び一般化成品の製造販売
20030275	鳶・土工事、土木工事業
19901283	容射・精密機械加工，回転機器整備
19891189	通信機器設計製作施工
20060014	金属加工業
20010349	接骨院・針灸院
19901475	病院
20070448	高齢者向け福祉サ－ビス業
20070447	高齢者向け福祉サ－ビス業
19850590	木材建材住宅設備機器卸売
19901305	石油・化学・食品等の製造設備の建設・保全
19970789	製造生産請負業務
20060174	綜合アウトソ－シング業
20070576	電機器具製造（業務請負業）
20070577	電機器具製造
20070578	電機器具製造
20050288	ｱﾐｭ-ｽﾞﾒﾝﾄ業,不動産業
20070593	自動車製造派遣事業
20010352	業務請負，人材派遣
20080600	飲食・リラクゼーション・温浴施設事業等
19910335	自動車部品の総合物流
19891253	ソフトウエアサ－ビス業
19850262	自動車用組電線製造
19980313	金型設計製作
20080605	自動車用組電線
19901636	高圧ガス製造販売，機械器具熔接材料販売
20080607	造船船体の加工及び溶接ガス切断・玉掛け作業
19850060	サービス業
20080609	朝日新聞他日刊紙の販売
20080610	ソフトウエアの作成・販売及びシステムのコンサルテーション
20060524	理容業
19880673	富士ゼロックス商品・関連商品の販売・サービス等
20070734	冷暖房・空調設備及び冷凍・冷蔵設備・ＣＡ設備設計施工
20080614	電気工事業
19990405	電気工事・土木工事設計施工請負
19890395	電気通信工事業及びＯＡ機器の販売
20080617	調査・測量・土木設計・開発・各種申請
19880344	繊維製品・化成品等の製造・販売
19870079	各種部品製造販売
19891265	事務機器等販売
20070648	金属精錬に関わる作業全般
20030258	遊園地の運営
20080623	製造系人材サービス
20060395	宅配便など各種輸送にかかわる事業
20080625	宅配便など各種輸送にかかわる事業
20080626	宅配便など各種輸送にかかわる事業
20080627	宅配便など各種輸送にかかわる事業
20080628	宅配便など各種輸送にかかわる事業
20080629	宅配便など各種輸送にかかわる事業
20080630	宅配便など各種輸送にかかわる事業
20080631	宅配便など各種輸送にかかわる事業
20080632	宅配便など各種輸送にかかわる事業
20080633	輸送用機器製造業
19850431	自動車用座席開発・設計・製造
19880791	電気工事業
20040305	半導体・液晶製造に伴う装置設計・製造
20040392	物流
20080638	宅配便など各種輸送にかかわる事業
20080639	宅配便など各種輸送にかかわる事業
20080640	宅配便など各種輸送にかかわる事業
20080641	ＤｏＣｏＭｏショップでの携帯電話の販売等
20070587	仮設資材の販売、施工、リ－ス
20070589	一般住宅用”ビケ足場”の施工付レンタル
20080644	小売　食品スーパーフレスコの運営
20070596	飲食店の経営、食品の加工及び販売
20080646	すしの製造販売
20080647	フードサービス事業
20070608	パチンコ・映画・ゲ－ム・カラオケ店の運営
20020344	アミュ－ズメント（パチンコ店の運営管理）
20070606	パチンコホ－ル経営
20070602	遊技場（パチンコホ－ルの企画・運営）
19891268	貨物旅客の運輸業
20070720	屋外広告物（看板）の製作・販売
20070533	理美容全般
20080655	理美容業務全般
20010345	美容一般
